"year","runtime","director","writer","genre"
1995,"81","nm0005124","nm0710020","animation"
1995,"130","nm0132709","nm0001220","adventure"
1995,"98","nm0000233","nm0000233","thriller"
1995,"105","nm0001756","nm0001465","action"
1995,"123","nm0000750","nm0081189","crime"
1995,"108","nm0955443","nm0270819","drama"
1995,"129","nm0000416","nm0672459","sci.fi"
1995,"91","nm0003088","nm0003088","children"
1995,"122","nm0000209","nm0000209","drama"
1995,"110","nm0518644","nm0000636","war"
1995,"127","nm0000399","nm0001825","crime"
1995,"106","nm0001741","nm0003160","crime"
1995,"95","nm0000095","nm0000095","comedy"
1994,"108","nm0705535","nm0705535","romance"
1995,"143","nm0378893","nm0242059","drama"
1995,"104","nm0001929","nm0001929","romance"
1996,"108","nm0001675","nm0000233","horror"
1995,"85","nm0070159","nm0070159","drama"
1995,"102","nm0331296","nm0331296","drama"
1995,"116","nm0351993","nm0125706","romance"
1996,"99","nm0005008","nm0366337","musical"
1995,"178","nm0000154","nm0908824","war"
1976,"114","nm0000217","nm0001707","thriller"
1995,"104","nm0867262","nm0530853","crime"
1996,"117","nm0001566","nm0561938","comedy"
1995,"98","nm0122653","nm0122653","comedy"
1995,"119","nm0000881","nm0724514","action"
1995,"140","nm0000165","nm0115310","thriller"
1995,"121","nm0001708","nm0326040","crime"
1967,"100","nm0000320","nm0140643","drama"
1995,"116","nm0001716","nm0771512","war"
1994,"119","nm0959062","\N","documentary"
1995,"104","nm0001675","nm0001675","romance"
1995,"83","nm0000777","nm0000777","comedy"
1995,"95","nm0514546","nm0560469","children"
1995,"93","nm0000944","nm0590360","romance"
1994,"93","nm0021899","nm0021899","drama"
1995,"114","nm0005563","nm0104335","sci.fi"
1995,"145","nm0000941","nm0000116","sci.fi"
1995,"109","nm0452319","nm0063819","comedy"
1995,"89","nm0205542","nm0379056","comedy"
1994,"92","nm0003620","nm0003620","comedy"
1994,"128","nm0001469","nm0000341","thriller"
1995,"132","nm0000431","nm0000175","thriller"
1994,"124","nm0000487","nm0770005","comedy"
1994,"103","nm0000382","nm0000382","drama"
1994,"127","nm0000318","nm0018735","comedy"
1994,"170","nm0416945","nm0416945","documentary"
1994,"100","nm0770961","nm0106563","romance"
1977,"121","nm0000184","nm0000184","war"
1994,"133","nm0001880","nm0365659","western"
1994,"110","nm0405336","nm0003141","drama"
1994,"119","nm0000231","nm0000231","thriller"
1995,"127","nm0000583","nm0245435","thriller"
1994,"110","nm0000108","nm0000108","crime"
1994,"154","nm0000233","nm0000233","crime"
1994,"105","nm0000944","nm0569568","drama"
1994,"133","nm0000602","nm0001921","drama"
1994,"99","nm0001425","nm0001425","drama"
1993,"94","nm0001425","nm0001425","drama"
1994,"92","nm0001425","nm0001425","drama"
1994,"116","nm0000386","nm0000386","sci.fi"
1994,"97","nm0664756","nm0748874","children"
1994,"142","nm0001104","nm0000175","drama"
1993,"118","nm0002120","nm0373282","comedy"
1995,"103","nm0005509","nm0495863","romance"
1994,"86","nm0001723","nm0001723","comedy"
1994,"102","nm0001639","nm0639335","romance"
1994,"142","nm0000709","nm0744839","war"
1994,"117","nm0001565","nm0193485","romance"
1994,"88","nm0021249","nm0560329","animation"
1994,"101","nm0751080","nm0108273","fantasy"
1994,"127","nm0001149","nm0001279","western"
1965,"83","nm0000540","nm0000540","action"
1994,"115","nm0007366","nm0007366","documentary"
1993,"144","nm0000361","nm0462895","crime"
1993,"154","nm0001628","nm0001801","thriller"
1993,"112","nm0934578","nm0907929","children"
1993,"130","nm0001112","nm0835732","thriller"
1993,"86","nm0000720","nm0698493","war"
1994,"111","nm0001053","nm0001053","romance"
1993,"127","nm0000229","nm0000341","sci.fi"
1993,"111","nm0000110","nm0000636","romance"
1994,"109","nm0650233","nm0254645","horror"
1994,"97","nm0001130","nm0481418","comedy"
1993,"134","nm0412465","nm0695609","drama"
1993,"109","nm0001873","nm0001873","drama"
1993,"105","nm0001188","nm0001188","romance"
1982,"117","nm0000631","nm0672459","film.noir"
1993,"93","nm0772095","nm0289219","romance"
1993,"76","nm0783139","nm0003031","musical"
1993,"119","nm0001716","nm0000233","crime"
1995,"88","nm0001754","nm0001754","comedy"
1990,"103","nm0001060","nm0000455","children"
1992,"90","nm0166256","nm0560329","animation"
1991,"137","nm0000116","nm0000116","sci.fi"
1990,"181","nm0000126","nm0086658","western"
1991,"118","nm0001129","nm0848217","thriller"
1937,"83","nm0414144","nm0780799","animation"
1996,"98","nm0001053","nm0001053","crime"
1981,"86","nm0754678","nm0639321","animation"
1970,"78","nm0718627","nm0314788","animation"
1996,"82","nm0754678","nm0500858","animation"
1995,"92","nm0079471","nm0079471","comedy"
1996,"93","nm0528718","nm0106563","comedy"
1996,"107","nm0154819","nm0092267","thriller"
1996,"123","nm0219720","nm0219720","drama"
1996,"89","nm0538614","nm0386780","comedy"
1996,"73","nm0540075","nm0064546","sci.fi"
1995,"107","nm0934578","nm0467942","war"
1996,"97","nm0499724","nm0920108","romance"
1996,"95","nm0788454","nm0115202","children"
1995,"135","nm0710919","nm0140643","drama"
1996,"106.972842486421","nm0243411","\N","animation"
1995,"89","nm0859920","nm0859920","documentary"
1995,"105","nm0772259","nm0102903","comedy"
1996,"136","nm0000881","nm0177018","adventure"
1996,"113","nm0000957","nm0000341","adventure"
1994,"105","nm0595131","nm0595131","documentary"
1996,"115","nm0000921","nm0000921","crime"
1996,"145","nm0000386","nm0000386","war"
1996,"96","nm0001774","nm0392648","comedy"
1996,"110","nm0001392","nm0001392","horror"
1996,"135","nm0000626","nm0000626","mystery"
1996,"123","nm0005509","nm0224187","romance"
1996,"117","nm0957453","nm0957453","drama"
1972,"175","nm0000338","nm0000338","crime"
1992,"96","nm0867262","nm0530853","thriller"
1996,"109","nm0905152","nm0905152","crime"
1996,"116","nm0000265","nm0000265","crime"
1961,"115","nm0001175","nm0001986","romance"
1939,"102","nm0281808","nm0388755","musical"
1939,"238","nm0002030","nm0372942","war"
1941,"119","nm0000080","nm0000080","drama"
1968,"149","nm0000040","nm0000040","mystery"
1939,"129","nm0001008","nm0118227","drama"
1996,"109","nm0001714","nm0001804","drama"
1996,"104","nm0509409","nm0109359","children"
1969,"108","nm0829038","nm0909556","children"
1993,"84","nm0242271","nm0003031","children"
1954,"127","nm0281507","nm0894523","fantasy"
1971,"117","nm0829038","nm0909556","musical"
1965,"172","nm0936404","nm0499626","musical"
1988,"132","nm0001532","nm0211823","thriller"
1992,"108","nm0502577","nm0000175","sci.fi"
1996,"103","nm0001024","nm0001024","drama"
1996,"121","nm0001317","nm0000948","thriller"
1996,"110","nm0394280","nm0001279","adventure"
1996,"123","nm0935863","nm0024925","drama"
1996,"96","nm0510731","nm0269463","comedy"
1971,"100","nm0835799","nm0001094","children"
1973,"89","nm0000095","nm0000095","sci.fi"
1988,"108","nm0000092","nm0000092","comedy"
1979,"94","nm0001402","nm0000092","comedy"
1987,"100","nm0001915","nm0075044","musical"
1992,"99","nm0000233","nm0000233","crime"
1986,"120","nm0000231","nm0000231","war"
1989,"97","nm0467646","nm0458228","comedy"
1992,"127","nm0000682","nm0000390","mystery"
1992,"100","nm0001226","nm0000519","drama"
1986,"109","nm0001716","nm0143596","romance"
1981,"109","nm0041932","nm0860125","drama"
1975,"113","nm0001175","nm0001175","comedy"
1989,"140","nm0000116","nm0000116","sci.fi"
1986,"120","nm0001945","nm0001945","drama"
1986,"113","nm0001945","nm0001945","drama"
1980,"109","nm0956052","nm0583600","comedy"
1975,"91","nm0000416","nm0000092","comedy"
1993,"29","nm0661910","nm0661910","animation"
1988,"155","nm0868153","nm0868153","romance"
1991,"99","nm0000466","nm0000466","sci.fi"
1980,"124","nm0449984","nm0000184","war"
1987,"98","nm0001661","nm0001279","adventure"
1981,"115","nm0000229","nm0000184","adventure"
1985,"132","nm0000416","nm0000416","sci.fi"
1986,"137","nm0000116","nm0000116","war"
1966,"161","nm0001466","nm0001466","western"
1957,"96","nm0001486","nm0741627","drama"
1971,"136","nm0000040","nm0000040","sci.fi"
1979,"147","nm0000338","nm0000338","war"
1983,"131","nm0549658","nm0000184","war"
1990,"145","nm0000217","nm0000217","crime"
1979,"117","nm0000631","nm0639321","horror"
1992,"81","nm0000600","nm0000600","horror"
1960,"109","nm0000033","nm0825010","horror"
1980,"133","nm0000484","nm0000101","musical"
1974,"202","nm0000338","nm0000338","crime"
1987,"116","nm0000040","nm0000040","war"
1989,"23","nm0661910","nm0661910","animation"
1989,"137","nm0000110","nm0000636","war"
1984,"160","nm0001232","nm0537004","mystery"
1980,"129","nm0000217","nm0001707","drama"
1983,"193","nm0442241","nm0442241","drama"
1973,"129","nm0001351","nm0911486","crime"
1984,"107","nm0000116","nm0000116","sci.fi"
1989,"128","nm0001837","nm0776114","drama"
1967,"106","nm0001566","nm0377750","romance"
1990,"117","nm0000108","nm0000108","thriller"
1957,"161","nm0000180","nm0933858","war"
1980,"146","nm0000040","nm0000175","horror"
1987,"84","nm0000600","nm0000600","horror"
1993,"101","nm0000601","nm0000601","romance"
1992,"130","nm0000142","nm0672459","western"
1985,"116","nm0000709","nm0000709","sci.fi"
1970,"172","nm0769874","nm0000338","war"
1988,"124","nm0960028","nm0368051","animation"
1990,"137","nm0710919","nm0140643","romance"
1974,"106","nm0000316","nm0000316","horror"
1984,"82","nm0001661","nm0001302","musical"
1989,"127","nm0000229","nm0000184","adventure"
1970,"116","nm0000265","nm0488057","war"
1988,"171","nm0442241","nm0140643","drama"
1985,"117","nm0412465","nm0695609","romance"
1982,"95","nm0000570","nm0914166","musical"
1989,"107","nm0004675","nm0004675","drama"
1989,"95","nm0001661","nm0001188","romance"
1992,"128","nm0000338","nm0831290","horror"
1991,"128","nm0000217","nm0834338","thriller"
1984,"91","nm0000127","nm0000127","horror"
1996,"126","nm0000659","nm0481418","romance"
1996,"159","nm0001885","nm0001885","drama"
1996,"111","nm0000408","nm0734472","sci.fi"
1996,"135","nm0000671","nm0000671","thriller"
1996,"102","nm0496312","nm0275260","drama"
1996,"103","nm0378893","nm0000455","children"
1990,"124","nm0001317","nm0211823","thriller"
1991,"110","nm0583292","nm0734472","sci.fi"
1982,"113","nm0583292","nm0734472","sci.fi"
1984,"105","nm0000559","nm0734472","sci.fi"
1986,"119","nm0000559","nm0734472","sci.fi"
1992,"126","nm0000318","nm0004170","crime"
1988,"107","nm0128883","nm0299301","western"
1992,"103","nm0001112","nm0493369","action"
1975,"124","nm0000229","nm0001940","horror"
1996,"106","nm0000318","nm0114083","war"
1996,"106","nm0668247","nm0668247","comedy"
1996,"139","nm0001081","nm0001081","romance"
1987,"94","nm0001053","nm0001053","comedy"
1992,"126","nm0004675","nm0004675","sci.fi"
1996,"81","nm0221133","nm0431918","animation"
1992,"112","nm0000520","nm0049721","war"
1996,"105","nm0841232","nm0006664","comedy"
1997,"105","nm0664756","nm0262595","children"
1997,"121","nm0000806","nm0081189","thriller"
1997,"111","nm0001587","nm0418883","war"
1997,"113","nm0003620","nm0003620","romance"
1997,"99","nm0003941","nm0200164","children"
1997,"107","nm0000786","nm0000131","crime"
1997,"94","nm0005366","nm0000196","comedy"
1997,"126","nm0000108","nm0000108","sci.fi"
1996,"136","nm0839397","nm0839397","comedy"
1997,"129","nm0000229","nm0000341","sci.fi"
1995,"126","nm0000425","nm0000425","romance"
1997,"125","nm0001708","nm0326040","crime"
1997,"105","nm0389591","nm0060103","romance"
1996,"91","nm0458251","nm0458251","romance"
1997,"98","nm0001756","nm0004412","sci.fi"
1997,"150","nm0000709","nm0366337","sci.fi"
1997,"92","nm0918873","nm0920108","children"
1997,"96","nm0027271","nm0252155","mystery"
1997,"98","nm0001747","nm0225235","children"
1997,"97","nm0001438","nm0001438","drama"
1997,"97","nm0425540","nm0425540","action"
1997,"105","nm0868219","nm0868219","sci.fi"
1990,"135","nm0001532","nm0272511","thriller"
1997,"95","nm0630372","nm0397574","adventure"
1997,"91","nm0146341","nm0064479","comedy"
1997,"106","nm0629272","nm0629272","sci.fi"
1997,"129","nm0000682","nm0374423","war"
1997,"126","nm0001814","nm0000255","drama"
1995,"170","nm0000520","nm0000520","crime"
1995,"127","nm0001628","nm0000697","romance"
1995,"136","nm0000487","nm0000807","romance"
1995,"111","nm0001214","nm0001214","romance"
1995,"117","nm0001355","nm0871857","drama"
1996,"87","nm0325533","nm0325533","romance"
1995,"115","nm0005347","nm0178294","drama"
1996,"124","nm0000816","nm0225820","romance"
1994,"111","nm0000436","nm0642137","thriller"
1996,"149","nm0001708","nm0001300","drama"
1996,"120","nm0569790","nm0000807","romance"
1996,"135","nm0005421","nm0005421","romance"
1996,"136","nm0005139","nm0005139","drama"
1996,"162","nm0005237","nm0005237","war"
1996,"98","nm0952360","nm0574259","drama"
1996,"111","nm0000127","nm0932078","horror"
1996,"135","nm0000570","nm0000231","musical"
1997,"93","nm0770961","nm0001279","comedy"
1997,"121","nm0000142","nm0001279","mystery"
1997,"140","nm0005436","nm0201304","drama"
1997,"127","nm0001565","nm0001921","crime"
1997,"86","nm0001723","nm0345488","comedy"
1997,"93","nm0609236","nm0599924","thriller"
1996,"90","nm0201094","nm0201094","drama"
1997,"113","nm0638033","nm0638033","drama"
1997,"138","nm0000247","nm0108273","sci.fi"
1997,"130","nm0004886","nm0104333","film.noir"
1997,"124","nm0000583","nm0549256","thriller"
1997,"90","nm0000568","nm0397411","comedy"
1997,"138","nm0000436","nm0001338","film.noir"
1996,"107","nm0050597","nm0514043","children"
1997,"112","nm0000487","nm0770005","drama"
1997,"101","nm0006960","nm0110591","romance"
1997,"144","nm0000431","nm0006904","mystery"
1997,"99","nm0836430","nm0176497","fantasy"
1997,"106","nm0665321","nm0665321","crime"
1997,"135","nm0000338","nm0000338","drama"
1997,"102","nm0812200","nm0416556","romance"
1997,"155","nm0000142","nm0359387","mystery"
1997,"194","nm0000116","nm0000116","romance"
1998,"93","nm0573732","nm0573732","children"
1998,"111","nm0001741","nm0000175","thriller"
1997,"139","nm0000985","nm0000985","comedy"
1993,"133","nm0006487","nm0006487","drama"
1993,"195","nm0000229","nm0001873","war"
1996,"101","nm0000095","nm0000095","musical"
1996,"150","nm0075666","\N","documentary"
1996,"104","nm0000983","nm0000983","comedy"
1997,"107","nm0514546","nm0063511","mystery"
1997,"108","nm0002044","nm0092018","thriller"
1997,"134","nm0000186","nm0000186","mystery"
1996,"100","nm0000343","nm0000343","thriller"
1997,"125","nm0000631","nm0878638","war"
1997,"105","nm0003506","nm0003506","mystery"
1997,"135","nm0001149","nm0001338","mystery"
1998,"100","nm0775447","nm0458318","crime"
1997,"119","nm0721817","nm0944878","drama"
1997,"117","nm0848414","nm0000519","adventure"
1997,"115","nm0001219","nm0458318","crime"
1997,"129","nm0000399","nm0104335","mystery"
1997,"125","nm0000231","nm0725983","mystery"
1997,"93","nm0552693","nm0114197","comedy"
1997,"94","nm0933002","nm0809245","crime"
1997,"85","nm0914132","nm0533938","thriller"
1997,"89","nm0809321","nm0193485","comedy"
1997,"114","nm0002020","nm0560202","action"
1997,"155","nm0000759","nm0000759","drama"
1997,"107","nm0001486","nm0233223","comedy"
1997,"94","nm0000750","nm0268138","mystery"
1997,"109","nm0000466","nm0639321","horror"
1997,"134","nm0000380","nm0000380","drama"
1997,"96","nm0000095","nm0000095","comedy"
1997,"154","nm0000233","nm0000233","crime"
1997,"97","nm0001469","nm0000519","comedy"
1998,"97","nm0004121","nm0003662","thriller"
1998,"124","nm0387706","nm0443582","mystery"
1998,"87","nm0817770","nm0927074","horror"
1997,"93","nm0818639","nm0193370","musical"
1998,"106","nm0814085","nm0814085","horror"
1998,"97","nm0178997","nm0379056","romance"
1998,"134","nm0001469","nm0000341","sci.fi"
1994,"119","nm0001708","nm0001300","mystery"
1975,"133","nm0001232","nm0325743","drama"
1997,"96","nm0228147","nm0228147","sci.fi"
1997,"119","nm0240995","nm0330108","thriller"
1997,"80","nm0002416","\N","documentary"
1997,"108","nm0000824","nm0441750","crime"
1998,"123","nm0000484","nm0000101","musical"
1995,"111","nm0001382","nm0704164","action"
1995,"90","nm0644203","nm0077062","comedy"
1995,"111","nm0759207","nm0759207","drama"
1995,"99","nm0808807","nm0060103","drama"
1995,"97","nm0002132","nm0002132","comedy"
1996,"88","nm0089176","nm0498963","comedy"
1996,"87","nm0790715","nm0937748","comedy"
1996,"108","nm0001241","nm0358960","thriller"
1995,"135","nm0000142","nm0481418","romance"
1995,"92","nm2259353","nm0397411","comedy"
1995,"96","nm0134176","nm0211823","sci.fi"
1995,"95","nm0818465","nm0647592","children"
1995,"128","nm0000682","nm0000390","drama"
1995,"113","nm0589168","nm0223844","comedy"
1995,"97","nm0109359","nm0031976","children"
1994,"114","nm0562645","nm0000455","drama"
1995,"92","nm0225416","nm0084131","horror"
1994,"118","nm0141222","nm0734472","sci.fi"
1994,"106","nm0389591","nm0389591","romance"
1994,"104","nm0254632","nm0254632","comedy"
1994,"91","nm0505152","nm0211823","children"
1994,"83","nm0781842","nm0698493","comedy"
1994,"141","nm0000116","nm0000116","adventure"
1993,"94","nm0001756","nm0397411","comedy"
1993,"139","nm0000217","nm0000217","drama"
1994,"104","nm0000484","nm0211823","action"
1994,"88","nm0003031","nm0003031","children"
1993,"88","nm0192090","nm0192090","comedy"
1993,"130","nm0001532","nm0000948","action"
1993,"115","nm0000154","nm0390708","drama"
1993,"125","nm0001060","nm0228908","comedy"
1994,"108","nm0809321","nm0000184","mystery"
1993,"104","nm0000316","nm0000316","comedy"
1994,"95","nm0000691","nm0000691","horror"
1993,"102","nm0380705","nm0380705","action"
1993,"104","nm0417708","nm0004412","sci.fi"
1993,"105","nm0378893","nm0521739","adventure"
1994,"82","nm0790715","nm0345488","children"
1995,"90","nm0858525","nm0877425","comedy"
1990,"127","nm0958387","nm0748022","romance"
1989,"126","nm0000318","nm0004170","crime"
1940,"88","nm0414144","nm0670328","animation"
1996,"110","nm0000361","nm0462895","mystery"
1996,"93","nm0276169","nm0000175","horror"
1996,"81","nm0295007","nm0161003","comedy"
1995,"30","nm0661910","nm0661910","animation"
1996,"113","nm0000338","nm0218621","comedy"
1996,"114","nm0125803","nm0266673","comedy"
1996,"95","nm0001723","nm0001723","fantasy"
1996,"90","nm0762541","nm0777442","comedy"
1996,"87","nm0012155","nm0000709","horror"
1982,"92","nm0000907","nm0658850","comedy"
1975,"100","nm0865709","nm0081052","western"
1957,"83","nm0829038","nm0320564","children"
1961,"129","nm0842582","nm0842582","children"
1950,"74","nm0414144","nm0670328","animation"
1964,"139","nm0829038","nm0909556","musical"
1951,"75","nm0414144","nm0670328","animation"
1996,"120","nm0525303","nm0000636","romance"
1996,"81","nm0832309","nm0166256","animation"
1982,"115","nm0000229","nm0558953","fantasy"
1996,"85","nm0817770","nm0000175","horror"
1992,"102","nm0000209","nm0000209","comedy"
1986,"84","nm0793802","nm0095685","animation"
1962,"129","nm0612322","nm0285210","drama"
1971,"91","nm0000797","nm0383359","comedy"
1951,"92","nm0936404","nm0636002","sci.fi"
1933,"69","nm0564970","nm0436095","war"
1986,"116","nm0611683","nm0272511","adventure"
1940,"124","nm0414144","nm0670328","animation"
1988,"103","nm0499724","nm0914058","comedy"
1956,"98","nm0928208","nm0000636","sci.fi"
1969,"110","nm0001351","nm0001279","western"
1981,"97","nm0000484","nm0000484","horror"
1992,"95","nm0709752","nm0002211","horror"
1983,"105","nm0281507","nm0024388","horror"
1993,"91","nm0613981","nm0002211","horror"
1982,"104","nm0198765","nm0392792","horror"
1979,"117","nm0742341","nm0030663","horror"
2023,"90","nm1100565","nm0392792","horror"
1963,"119","nm0000033","nm0238898","horror"
1958,"86","nm0234893","nm0510989","horror"
1945,"78","nm0936404","nm0531878","horror"
1976,"116","nm0193303","nm0193303","horror"
1976,"98","nm0000361","nm0000175","horror"
1976,"111","nm0001149","nm0783544","horror"
1979,"143","nm0936404","nm0734472","sci.fi"
1989,"107","nm0000638","nm0734472","sci.fi"
1978,"110","nm0459170","nm0143558","musical"
1978,"116","nm0844358","nm0001940","horror"
1983,"99","nm0023469","nm0001940","horror"
1996,"98","nm0001378","nm0580559","drama"
1996,"107","nm0867262","nm0867262","action"
1997,"88","nm0240797","nm0270936","action"
1997,"86","nm0683578","nm0560469","children"
1995,"192","nm0000231","nm0000231","drama"
1995,"106","nm0740213","nm0367838","drama"
1995,"111","nm0000576","nm0000576","drama"
1995,"112","nm0911061","nm0000808","drama"
1992,"105","nm0000778","nm0261294","romance"
1994,"103","nm0000626","nm0000626","adventure"
1994,"119","nm0001501","nm0000519","drama"
1994,"111","nm0814085","nm0456017","children"
1993,"98","nm0001093","nm0001093","thriller"
1993,"121","nm0000134","nm0001590","drama"
1993,"114","nm0000770","nm0686233","drama"
1993,"188","nm0000265","nm0000265","drama"
1993,"130","nm0181902","nm0418883","western"
1996,"116","nm0001880","nm0242059","war"
1996,"103","nm0003418","nm0688279","fantasy"
1996,"79","nm0783139","nm0001094","animation"
1964,"95","nm0000040","nm0000040","war"
1996,"93","nm0000965","nm0388076","drama"
1996,"103","nm0933505","nm0363326","comedy"
1996,"98","nm0000362","nm0001094","children"
1940,"112","nm0002030","nm0829330","romance"
1958,"128","nm0000033","nm0092267","mystery"
1959,"136","nm0000033","nm0499626","thriller"
1960,"125","nm0000697","nm0000697","comedy"
1959,"121","nm0000697","nm0000697","crime"
1942,"102","nm0002031","nm0258493","war"
1941,"100","nm0001379","nm0001379","film.noir"
1964,"170","nm0002030","nm0503585","musical"
1954,"113","nm0000697","nm0000697","romance"
1953,"118","nm0943758","nm0874308","romance"
1950,"110","nm0000697","nm0000697","film.noir"
1946,"102","nm0000033","nm0372942","film.noir"
1955,"106","nm0000033","nm0178785","romance"
1938,"102","nm0002031","nm0589316","adventure"
1955,"118","nm0001415","nm0651585","drama"
1934,"91","nm0886754","nm0329304","mystery"
1940,"92","nm0001328","nm0372942","comedy"
1956,"167","nm0027183","nm0688117","adventure"
1946,"130","nm0001008","nm0329304","drama"
1938,"102","nm0001328","nm0629580","comedy"
1951,"105","nm0001379","nm0001379","war"
1958,"108","nm0112218","nm0112218","drama"
1941,"64","nm0414144","nm0670328","animation"
1971,"82","nm0000095","nm0000095","war"
1972,"110","nm0006916","nm0488373","drama"
1967,"111","nm0671957","nm0001801","crime"
1954,"105","nm0000033","nm0461425","mystery"
1955,"111","nm0712947","nm0712947","drama"
1951,"122","nm0001415","nm0931783","drama"
1996,"130","nm0001232","nm0018735","drama"
1989,"103","nm0006487","nm0006487","drama"
1960,"128","nm0836328","nm0000041","western"
1962,"218","nm0000180","nm0933858","war"
1987,"128","nm0000694","nm0000694","romance"
1949,"104","nm0715346","nm0000080","mystery"
1977,"93","nm0000095","nm0000095","romance"
1981,"149","nm0000583","nm0000583","war"
1983,"111","nm0287025","nm0287025","comedy"
1979,"96","nm0000095","nm0000095","romance"
1990,"115","nm0001053","nm0001053","drama"
1948,"126","nm0001379","nm0001379","adventure"
1963,"172","nm0836328","nm0108595","war"
1978,"183","nm0001047","nm0000658","war"
1986,"107","nm0000464","nm0000464","comedy"
1967,"127","nm0742341","nm0237543","comedy"
1940,"125","nm0000122","nm0000122","comedy"
1946,"114","nm0001328","nm0102824","film.noir"
1959,"212","nm0943758","nm0027173","adventure"
1982,"191","nm0000277","nm0109300","drama"
1984,"141","nm0423646","nm0732430","war"
1985,"101","nm0002120","nm0002120","drama"
1975,"129","nm0001379","nm0001379","adventure"
1996,"105","nm0382956","nm0382956","romance"
1996,"117","nm0619762","nm0471247","romance"
1996,"87","nm0609549","nm0609549","mystery"
1997,"101","nm0005726","nm0569474","drama"
1997,"100","nm0001162","nm0330565","romance"
1996,"97","nm0230695","nm0173928","drama"
1991,"104","nm0001814","nm0000636","drama"
1997,"94","nm0089940","nm0879318","animation"
1997,"98","nm0893659","nm0726472","children"
1995,"110","nm0747849","nm0521739","action"
1995,"101","nm0027271","nm0095460","adventure"
1995,"81","nm0300265","nm0560329","animation"
1995,"175","nm0500988","nm0401076","musical"
1995,"115","nm0001219","nm0003298","crime"
1995,"100","nm0000127","nm0000552","romance"
1996,"108","nm0000247","nm0003662","thriller"
1995,"99","nm0743239","nm0712575","crime"
1994,"95","nm0003423","nm0003369","fantasy"
1995,"139","nm0001994","nm0788991","war"
1995,"128","nm0001532","nm0378144","thriller"
1995,"109","nm0000850","nm0000850","horror"
1995,"108","nm0002044","nm0271022","sci.fi"
1995,"102","nm0000778","nm0436543","romance"
1995,"135","nm0721817","nm0878638","adventure"
1995,"89","nm0620290","nm0620290","drama"
1995,"98","nm0001353","nm0001353","western"
