"year","runtime","director","writer","genre"
1994,"111","nm0179216","nm0064530","musical"
1994,"99","nm0001392","nm0001392","fantasy"
1994,"123","nm0001403","nm0723351","horror"
1995,"89","nm0331998","nm0506597","fantasy"
1994,"123","nm0000110","nm0791217","horror"
1995,"108","nm0000600","nm0601881","western"
1995,"180","nm0276169","nm0000175","horror"
1995,"98","nm0192090","nm0192090","horror"
1995,"98","nm0000118","nm0798103","horror"
1994,"141","nm0637518","nm0001873","adventure"
1994,"112","nm0000127","nm0000127","horror"
1994,"116","nm0000957","nm0003662","romance"
1994,"125","nm0001566","nm0365659","horror"
1994,"191","nm0001410","nm0001410","western"
1993,"108","nm0000824","nm0467942","thriller"
1994,"121","nm0394280","nm0061337","thriller"
1993,"87","nm0001206","nm0820669","horror"
1993,"107","nm0528337","nm0129310","mystery"
1994,"116","nm0917992","nm0304665","western"
1993,"113","nm0001317","nm0289833","crime"
1993,"88","nm0006625","nm0000101","sci.fi"
1993,"115","nm0104193","nm0914058","sci.fi"
1993,"91","nm0005348","nm0641714","comedy"
1995,"99","nm0003355","nm0003355","romance"
1993,"117","nm0784061","nm0582481","thriller"
1993,"121","nm0001005","nm0001005","romance"
1993,"110","nm0575389","nm0377088","crime"
1993,"101","nm0002140","nm0003031","children"
1993,"95","nm0711114","nm0006997","comedy"
1994,"102","nm0764776","nm0878638","action"
1993,"112","nm0576282","nm0576282","mystery"
1991,"84","nm0873779","nm0560329","animation"
1969,"145","nm0001603","nm0338396","western"
1996,"85","nm0944892","nm0040643","horror"
1996,"129","nm0387706","nm0081189","thriller"
1995,"94","nm0893895","nm0893895","mystery"
1993,"134","nm0005917","nm0005917","war"
1995,"105","nm0003506","nm0003506","romance"
1996,"116","nm0001716","nm0840380","thriller"
1996,"91","nm0873779","nm0560329","animation"
1996,"115","nm0751080","nm0338396","thriller"
1996,"98","nm0209667","nm0209667","comedy"
1993,"104","nm0867262","nm0867262","action"
1997,"105","nm0004305","nm0214518","children"
1943,"170","nm0939992","nm0002133","war"
1951,"114","nm0591486","nm0503585","musical"
1954,"112","nm0000033","nm0371088","mystery"
1934,"105","nm0001008","nm0728307","comedy"
1944,"113","nm0591486","nm0106505","musical"
1950,"138","nm0000581","nm0000581","drama"
1940,"130","nm0000033","nm0531878","romance"
1945,"111","nm0000033","nm0372942","mystery"
1950,"92","nm0591486","nm0329304","comedy"
1958,"115","nm0591486","nm0503585","musical"
1944,"88","nm0541149","nm0388755","film.noir"
1937,"132","nm0001008","nm0728307","drama"
1936,"94","nm0478441","nm0753452","comedy"
1956,"201","nm0828419","nm0272209","drama"
1935,"86","nm0000033","nm0067308","thriller"
1968,"96","nm0001681","nm0001681","horror"
1930,"104","nm0903049","nm0509510","drama"
1955,"115","nm0517597","nm0408718","drama"
1996,"118","nm0000776","nm0006904","thriller"
1996,"113","nm0001226","nm0001279","drama"
1955,"93","nm0287988","nm0085648","western"
1960,"126","nm0002175","nm0370328","children"
1994,"102","nm0213100","nm0805965","children"
1944,"71","nm0272568","nm0670328","animation"
1963,"79","nm0314671","nm0670328","animation"
1948,"79","nm0527217","nm0670328","children"
1991,"143","nm0721817","nm0219720","drama"
1996,"147","nm0001469","nm0001469","crime"
1982,"134","nm0001175","nm0001175","musical"
1965,"160","nm0001175","nm0001175","musical"
1992,"112","nm0001403","nm0001403","war"
1982,"150","nm0001587","nm0001587","drama"
1938,"69","nm0547446","nm0002042","drama"
1996,"80","nm0638175","nm0638175","documentary"
1980,"89","nm0000118","nm0000118","horror"
1981,"99","nm0000118","nm0000118","sci.fi"
1981,"91","nm0001102","nm0000626","horror"
1982,"112","nm0897045","nm0140643","drama"
1979,"142","nm0772522","nm0140643","drama"
1989,"124","nm0000425","nm0000425","drama"
1957,"88","nm0000040","nm0000040","war"
1990,"110","nm0001241","nm0860292","film.noir"
1993,"119","nm0772259","nm0568605","romance"
1988,"101","nm0001554","nm0001554","documentary"
1990,"78","nm0515255","\N","documentary"
1968,"166","nm0001466","nm0000934","western"
1985,"160","nm0000041","nm0000636","war"
1952,"129","nm0000406","nm0000406","romance"
1984,"229","nm0001466","nm0001466","crime"
1957,"96","nm0000005","nm0000005","drama"
1989,"122","nm0001880","nm0418883","war"
1990,"117","nm0001779","nm0001779","comedy"
1958,"95","nm0000080","nm0000080","film.noir"
1974,"130","nm0000591","nm0001801","film.noir"
1986,"89","nm0001661","nm0000175","adventure"
1931,"117","nm0000485","nm0000485","film.noir"
1962,"126","nm0001239","nm0043480","film.noir"
1990,"102","nm0610496","nm0610496","drama"
1944,"118","nm0001008","nm0258493","mystery"
1991,"130","nm0000816","nm0280840","drama"
1952,"85","nm0003593","nm0286025","western"
1980,"103","nm0844358","nm0558577","romance"
1979,"130","nm0000797","nm0002717","comedy"
1984,"145","nm0000694","nm0232924","drama"
1992,"114","nm0000399","nm0639321","horror"
1974,"103","nm0607407","nm0831290","horror"
1977,"113","nm0936404","nm0208342","horror"
1980,"92","nm0089177","nm0089177","horror"
1991,"88","nm0714599","nm0092267","horror"
1935,"75","nm0001843","nm0049721","horror"
1992,"99","nm0741262","nm0000850","horror"
1962,"106","nm0496746","nm0531792","film.noir"
1982,"118","nm0001707","nm0001707","horror"
1922,"94","nm0003638","nm0831290","horror"
1996,"124","nm0405336","nm0007186","drama"
1996,"72","nm0300795","nm0300795","documentary"
1997,"104","nm0413875","nm0712753","thriller"
1982,"129","nm0587518","nm0000231","adventure"
1997,"90","nm0476071","nm0040643","horror"
1997,"101","nm0318947","nm0932078","mystery"
1997,"95","nm0318795","nm0258627","comedy"
1993,"128","nm0000583","nm0536587","thriller"
1996,"133","nm0000829","nm0859029","thriller"
1993,"138","nm0000142","nm0359387","action"
1997,"108","nm0818465","nm0185578","war"
1997,"84","nm0128225","nm0175080","comedy"
1997,"124","nm0001994","nm0679326","thriller"
1997,"136","nm0000269","nm0364143","war"
1998,"100","nm0001639","nm0275286","film.noir"
1995,"114","nm0001661","nm0815070","romance"
1995,"178","nm0000217","nm0000217","drama"
1995,"103","nm0585011","nm0000807","romance"
1995,"96","nm0000876","nm0000876","comedy"
1996,"111","nm0000887","nm0001707","thriller"
1995,"102","nm0436284","nm0140860","drama"
1994,"97","nm0001214","nm0367838","drama"
1994,"115","nm0000788","nm0842523","drama"
1995,"95","nm0291205","nm0291205","comedy"
1993,"183","nm0618284","nm0618284","documentary"
1994,"101","nm0001775","nm0001775","romance"
1994,"101","nm0410139","nm0502643","drama"
1993,"145","nm0000806","nm0021196","romance"
1952,"103","nm0002045","nm0173679","musical"
1996,"80","nm0714599","nm0714599","horror"
1991,"95","nm0001565","nm0055726","drama"
1989,"100","nm0001752","nm0001752","drama"
1992,"94","nm0525303","nm0525303","romance"
1985,"97","nm0390822","nm0390822","comedy"
1996,"97","nm0838016","nm0047976","drama"
1987,"112","nm0001469","nm0001469","comedy"
1995,"123","nm0662529","nm0000636","drama"
1995,"121","nm0358960","nm0358960","romance"
1995,"106","nm0001814","nm0377750","comedy"
1995,"103","nm0000149","nm0705331","romance"
1996,"118","nm0001270","nm0848217","thriller"
1995,"99","nm0000110","nm0000110","comedy"
1995,"91","nm0601619","nm0601619","war"
1995,"134","nm0958387","nm0629933","adventure"
1995,"94","nm0003620","nm0003620","comedy"
1995,"103","nm0001060","nm0001060","comedy"
1995,"115","nm0006889","nm0740400","comedy"
1995,"103","nm0640466","nm0203577","romance"
1994,"113","nm0005190","nm0723351","comedy"
1995,"96","nm0137363","nm0137363","children"
1994,"121","nm0741262","nm0741262","romance"
1994,"109","nm0718645","nm0175620","sci.fi"
1994,"112","nm0000776","nm0629933","drama"
1994,"161","nm0161717","nm0241416","romance"
1994,"115","nm0625458","nm0625458","romance"
1993,"110","nm0718645","nm0002657","romance"
1994,"83","nm0873266","nm0873266","romance"
1993,"111","nm0000907","nm0805965","comedy"
1993,"125","nm0001129","nm0638913","drama"
1993,"131","nm0000277","nm0629933","romance"
1994,"98","nm0241090","nm0241090","comedy"
1994,"93","nm0281598","nm0281598","romance"
1990,"119","nm0005190","nm0493369","romance"
1996,"112","nm0001874","nm5462342","romance"
1995,"92","nm0864468","nm0741942","thriller"
1996,"121","nm0000165","nm0697115","thriller"
1996,"84","nm0691194","nm0275286","thriller"
1996,"133","nm0001403","nm0001403","war"
1972,"154","nm0575389","nm0055726","comedy"
1985,"108","nm0004838","nm0698493","comedy"
1993,"98","nm0154819","nm0075727","romance"
1997,"116","nm0637518","nm0378144","romance"
1997,"97","nm0423623","nm0418321","romance"
1997,"155","nm0000229","nm0291905","drama"
1997,"119","nm0006854","nm0001220","romance"
1998,"87","nm0298807","nm0003535","thriller"
1994,"135","nm0586482","nm0406534","drama"
1997,"122","nm0000816","nm0455207","crime"
1995,"104","nm0002653","nm0378144","fantasy"
1995,"106","nm0796124","nm0329304","comedy"
1995,"51","nm0522844","nm0312442","documentary"
1995,"93","nm0542752","nm0591160","sci.fi"
1995,"91","nm0802617","nm0281969","action"
1995,"108","nm0240995","nm0639321","sci.fi"
1995,"90","nm0000824","nm0242059","thriller"
1996,"112","nm0001130","nm0003298","drama"
1996,"92","nm0240797","nm0379056","comedy"
1996,"92","nm0769703","nm0769703","romance"
1992,"117","nm0399737","nm0000552","romance"
1995,"86","nm0787257","nm0787257","documentary"
1995,"82","nm0001206","nm0820669","horror"
1995,"100","nm0797869","nm0646818","children"
1995,"109","nm0550881","nm0000341","mystery"
1995,"102","nm0002083","nm0002083","film.noir"
1995,"103","nm0519434","nm0317218","sci.fi"
1995,"91","nm0164187","nm0005101","drama"
1995,"95","nm0909026","nm0909026","thriller"
1995,"98","nm0927074","nm0927074","horror"
1995,"106","nm0002120","nm0451884","romance"
1995,"115","nm0004838","nm0026671","drama"
1995,"90","nm0002340","nm0002340","horror"
1994,"97","nm0505230","nm0126406","romance"
1994,"101","nm0000824","nm0058302","action"
1994,"107","nm0125803","nm0125803","comedy"
1995,"111","nm0001410","nm0111845","romance"
1994,"98","nm0336695","nm0336695","drama"
1994,"110","nm0000907","nm0560469","romance"
1994,"89","nm0419884","nm0112488","horror"
1994,"109","nm0422484","nm0236884","romance"
1995,"113","nm0619762","nm0842523","romance"
1995,"108","nm0946811","nm0032318","comedy"
1994,"94","nm0586198","nm0934483","horror"
1994,"93","nm0398986","nm0398986","comedy"
1995,"97","nm0781842","nm0877425","comedy"
1995,"94","nm0563039","nm0551923","children"
1994,"98","nm0000095","nm0000095","comedy"
1994,"115","nm0000490","nm0000490","comedy"
1994,"101","nm0000921","nm0026862","romance"
1994,"95","nm0677953","nm0421084","children"
1994,"99","nm0881038","nm0455207","romance"
1994,"99","nm0001382","nm0894156","sci.fi"
1995,"108","nm0364578","nm0859469","action"
1994,"91","nm0455214","\N","drama"
1994,"95","nm0000118","nm0006894","horror"
1994,"107","nm0001274","nm0032318","comedy"
1993,"97","nm0000247","nm0679326","crime"
1993,"140","nm0000231","nm0000231","war"
1994,"112","nm0001469","nm0001469","comedy"
1993,"104","nm0000095","nm0000095","mystery"
1993,"97","nm0400436","nm0400436","crime"
1993,"109","nm0005436","nm0005436","drama"
1993,"112","nm0911486","nm0911486","action"
1993,"125","nm0442241","nm0000341","mystery"
1994,"108","nm0611683","nm0462895","action"
1993,"98","nm0320660","nm0001528","documentary"
1994,"95","nm0004305","nm0053096","children"
1995,"102","nm0258531","nm0258531","documentary"
1994,"60","nm0045321","nm0045321","documentary"
1996,"108","nm0001355","nm0800124","romance"
1995,"95","nm0174374","nm0000850","horror"
1995,"88","nm0894812","nm0245499","drama"
1996,"108","nm0000490","nm0663016","comedy"
1996,"100","nm0711114","nm0119542","comedy"
1996,"88","nm0701592","nm0748874","fantasy"
1996,"105","nm0000907","nm0840380","romance"
1968,"130","nm0001023","nm0001023","drama"
1996,"107","nm0848414","nm0223320","film.noir"
1996,"91","nm0399737","nm0005421","comedy"
1996,"115","nm0878638","nm0878638","sci.fi"
1996,"100","nm0934578","nm0090151","adventure"
1996,"114","nm0003418","nm0092018","adventure"
1996,"109","nm0381699","nm0121106","children"
1996,"98","nm0393661","nm0926211","adventure"
1996,"89","nm0375476","nm0375476","mystery"
1996,"101","nm0000118","nm0000118","sci.fi"
1996,"110","nm0422484","nm0745087","fantasy"
1996,"84","nm0225416","nm0171474","action"
1995,"87","nm0152640","nm0000118","horror"
1934,"107","nm0762263","nm0388755","musical"
1939,"110","nm0523932","nm0000697","romance"
1941,"135","nm0001008","nm0728307","drama"
1985,"93","nm0477035","nm0938944","action"
1996,"101","nm0376487","nm0299301","horror"
1996,"101","nm0001353","nm0001353","western"
1996,"91","nm0336726","nm0110778","thriller"
1960,"134","nm0842582","nm0842582","children"
1959,"104","nm0059106","nm0909556","children"
1996,"102","nm0109165","nm0109165","crime"
1996,"108","nm0000158","nm0000158","comedy"
1996,"93","nm0696309","nm0005082","romance"
1996,"112","nm0000199","nm0000636","documentary"
1944,"95","nm0229424","nm0151452","film.noir"
1990,"107","nm0001716","nm0001801","romance"
1996,"105","nm0191712","\N","documentary"
1967,"87","nm0000419","nm0000419","drama"
1996,"85","nm0579690","\N","thriller"
1992,"104","nm0001392","nm0001392","horror"
1987,"91","nm0001392","nm0001392","horror"
1981,"117","nm0000894","nm0000894","mystery"
1991,"129","nm0000464","nm0000464","comedy"
1996,"75","nm0771652","nm0918904","documentary"
1996,"97","nm0925474","nm0827750","horror"
1986,"89","nm0910510","nm0045301","horror"
1987,"114","nm0772259","nm0004111","horror"
1988,"97","nm0001428","nm0019116","horror"
1996,"89","nm0505152","nm0466473","children"
1970,"94","nm0001120","nm0094558","drama"
1996,"101","nm0781842","nm0152501","comedy"
1996,"105","nm0001188","nm0001188","romance"
1996,"111","nm0006959","nm0255008","drama"
1995,"100","nm0956537","nm0787570","drama"
1997,"109","nm0855035","nm0714203","romance"
1997,"96","nm0001707","nm0001707","romance"
1997,"93","nm0450387","nm0003032","comedy"
1997,"109","nm0936673","nm0936673","romance"
1997,"101","nm0139111","nm0139111","romance"
1997,"83","nm0005139","nm0005139","drama"
1997,"100","nm0001024","nm0001023","romance"
1997,"97","nm0711840","nm0169505","action"
1997,"101","nm0104193","nm0011206","adventure"
1997,"89","nm0818639","nm0909556","mystery"
1997,"124","nm0001460","nm0771512","war"
1997,"115","nm0863387","nm0863387","drama"
1997,"115","nm0002140","nm0416556","drama"
1997,"101","nm0272704","nm0000390","drama"
1997,"106","nm0000464","\N","documentary"
1998,"96","nm0152640","nm0465588","horror"
1997,"103","nm0000965","nm0388076","romance"
1997,"108","nm0501435","nm0501435","drama"
1997,"102","nm0001214","nm0001214","drama"
1997,"100","nm0006845","nm0006845","romance"
1997,"95","nm0502954","nm0095460","adventure"
1997,"105","nm0558773","nm0792526","war"
1997,"93","nm0562645","nm0909556","fantasy"
1997,"115","nm0818465","nm0398174","comedy"
1997,"102","nm0331532","nm0000455","children"
1997,"120","nm0000127","nm0932078","horror"
1997,"112","nm0000382","nm0000382","drama"
1997,"101","nm0566506","nm0628399","sci.fi"
1997,"177","nm0000126","nm0001338","drama"
1997,"108","nm0000614","nm0000614","drama"
1997,"134","nm0000217","nm0558953","drama"
1997,"87","nm0867262","nm0698493","comedy"
1998,"117","nm0001053","nm0001053","mystery"
1997,"119","nm0748928","nm0748928","romance"
1997,"88","nm0075626","nm0075626","comedy"
1998,"111","nm0190859","nm0002042","romance"
1997,"132","nm0000788","nm0428630","romance"
1998,"80","nm0409197","nm0409197","comedy"
1998,"82","nm0205542","nm0107366","comedy"
1998,"111","nm0380980","nm0231639","drama"
1997,"128","nm0000198","nm0000198","drama"
1998,"94","nm0000914","nm0000914","crime"
1998,"131","nm0000829","nm0400403","thriller"
1997,"93","nm0477193","nm0010434","comedy"
1998,"108","nm0573796","nm0002983","mystery"
1998,"143","nm0001566","nm0561938","drama"
1998,"130","nm0394280","nm0326040","sci.fi"
1998,"111","nm0000887","nm0465199","thriller"
1998,"114","nm0797869","nm0000694","romance"
1995,"112","nm0000466","nm0000466","sci.fi"
1995,"85","nm0001226","nm0825010","drama"
1992,"171","nm0155280","nm0523760","romance"
1995,"121","nm0000464","nm0000464","western"
1991,"125","nm0955443","nm0867263","drama"
1996,"129","nm0000631","nm0317335","adventure"
1996,"117","nm0001093","nm0311469","sci.fi"
1996,"92","nm0911486","nm0476065","comedy"
1995,"103","nm0000264","nm0000264","drama"
1996,"101","nm0281598","nm0281598","horror"
1996,"100","nm0400486","nm0852430","children"
1996,"107","nm0001112","nm0493369","adventure"
1996,"96","nm0001239","nm0404396","sci.fi"
1996,"101","nm0262693","nm0445552","children"
1996,"99","nm0001206","nm0820669","drama"
1996,"123","nm0001508","nm0778819","drama"
1997,"122","nm0000915","nm0000915","war"
1996,"108","nm0379179","nm0379179","romance"
1997,"105","nm0602104","nm0428630","drama"
1997,"98","nm0760131","nm0583238","romance"
1995,"122","nm0733692","nm0330108","thriller"
1994,"92","nm0499724","nm0929186","comedy"
1994,"101","nm0450194","nm0557895","comedy"
1993,"118","nm0001270","nm0486824","drama"
1993,"96","nm0000812","nm0000812","thriller"
1994,"128","nm0001508","nm0122950","war"
1963,"113","nm0002045","nm0832099","mystery"
1981,"83","nm0359457","nm0560329","animation"
1988,"168","nm0000108","nm0000108","adventure"
1997,"79","nm0689385","nm0119405","romance"
1995,"117","nm0602104","nm0026862","romance"
1995,"115","nm0343260","nm0193009","drama"
1995,"96","nm0000568","nm0558953","fantasy"
1995,"83","nm0911061","nm0000808","comedy"
1995,"93","nm0000473","nm0481418","comedy"
1995,"73","nm0444857","\N","documentary"
1995,"101","nm0000500","nm0000500","romance"
1994,"110","nm0000914","nm0000914","drama"
1991,"105","nm0000487","nm0770005","comedy"
1994,"133","nm0955443","nm0523760","drama"
1993,"103","nm0000500","nm0000500","comedy"
1993,"131","nm0005139","nm0005139","drama"
1992,"94","nm0006845","nm0006845","drama"
1993,"114","nm0638033","nm0000807","drama"
1994,"25","nm0382584","nm0000671","thriller"
1995,"92","nm0410139","nm0060914","comedy"
1957,"103","nm0002045","nm0314826","musical"
1957,"115","nm0564970","nm0829330","romance"
1936,"102","nm0188669","nm0122364","drama"
1949,"102","nm0467396","nm0372942","musical"
1968,"25","nm0789313","nm0314788","animation"
1991,"113","nm0155093","nm0001160","comedy"
1991,"96","nm0759368","nm0599291","war"
1992,"135","nm0000626","nm0000626","drama"
1995,"10","nm0005200","\N","documentary"
1996,"101","nm0772259","nm0415425","thriller"
1996,"97","nm0001226","nm0189610","thriller"
1996,"94","nm0053157","nm0179968","sci.fi"
1996,"114","nm0541677","nm0650276","action"
1996,"132","nm0423333","nm0291082","mystery"
1996,"94","nm0462895","nm0462895","thriller"
1996,"114","nm0330360","nm0004332","drama"
1997,"95","nm0740213","nm0490417","drama"
1996,"101","nm0482681","nm0272511","adventure"
1996,"95","nm0427468","nm0427468","thriller"
1997,"103","nm0181902","nm0316724","thriller"
1996,"101","nm0706182","nm0189105","drama"
1997,"100","nm0125111","nm0107954","thriller"
1996,"95","nm0002337","nm0084114","thriller"
1997,"105","nm0477129","nm0333804","romance"
1997,"75","nm0227540","nm0501729","animation"
1997,"108","nm0741262","nm0741262","romance"
1997,"113","nm0340037","nm0679037","crime"
1996,"92","nm0933604","nm0259255","thriller"
1997,"93","nm0166256","nm0314788","animation"
1997,"92","nm0443181","nm0143944","drama"
1997,"86","nm0899854","nm0899854","comedy"
1995,"100","nm0805965","nm0805965","children"
1995,"95","nm0000601","nm0291253","comedy"
1994,"80","nm0720304","nm0254402","comedy"
1994,"107","nm0413875","nm0455207","comedy"
1994,"98","nm0934578","nm0001357","western"
1996,"94","nm0000484","nm0020068","comedy"
1997,"84","nm0589106","nm0000491","comedy"
1993,"115","nm0001353","nm0587518","western"
1991,"98","nm0001425","nm0001425","drama"
1991,"158","nm0000694","nm0000694","sci.fi"
1996,"84","nm0001302","nm0001302","comedy"
1996,"103","nm0366004","nm0366004","drama"
1996,"118","nm0000934","nm0000934","drama"
1996,"107","nm0773603","nm0100765","drama"
1996,"104","nm0381273","nm0381273","crime"
1997,"109","nm0858525","nm0089676","comedy"
1997,"89","nm0515891","nm0143596","adventure"
1997,"92","nm0592400","nm0771494","comedy"
1996,"93","nm0742428","nm0623297","children"
1997,"115","nm0922346","nm0003298","adventure"
1996,"95","nm0000114","nm0000114","drama"
1989,"101","nm0000264","nm0000264","drama"
1989,"111","nm0000247","nm0000247","thriller"
1944,"114","nm0002030","nm0049721","mystery"
1963,"138","nm0000019","nm0000019","drama"
1997,"80","nm0001554","\N","documentary"
1997,"98","nm0718645","nm0304665","comedy"
1997,"97","nm0331296","nm0941173","romance"
1997,"105","nm0258066","nm0835732","thriller"
1997,"94","nm0037278","nm0788583","comedy"
1995,"104","nm0467646","nm0712753","action"
1995,"101","nm0222043","nm0425756","romance"
1995,"88","nm0287198","nm0866063","comedy"
1993,"92","nm0790715","nm0465199","comedy"
1994,"94","nm0677951","nm0002657","children"
1994,"119","nm0770650","nm0683912","children"
1996,"88","nm0254786","nm0122484","children"
1996,"95","nm0000241","nm0597857","adventure"
1993,"98","nm0005509","nm0325271","comedy"
1991,"103","nm0429517","nm0204313","fantasy"
1982,"115","nm0083279","nm0143558","musical"
1997,"118","nm0835732","nm0835732","thriller"
1996,"242","nm0000110","nm0000636","drama"
1996,"96","nm0071611","nm0001459","romance"
1995,"101","nm0000345","nm0304665","romance"
1995,"102","nm0322865","nm0835732","mystery"
1995,"85","nm0314104","nm0076602","comedy"
1994,"112","nm0000165","nm0462895","comedy"
1993,"122","nm0001837","nm0947913","drama"
1993,"107","nm0000887","nm0291082","thriller"
1996,"117","nm0000601","nm0304665","comedy"
1996,"96","nm0122653","nm0122653","romance"
1996,"108","nm0934863","nm0330195","comedy"
1947,"104","nm0000581","nm0242897","romance"
1996,"114","nm0677953","nm0140643","comedy"
1995,"88","nm0000316","nm0831290","horror"
1995,"102","nm0322128","nm0454783","drama"
1996,"96","nm0145309","nm0558533","comedy"
1994,"106","nm0533564","nm0000188","drama"
1992,"94","nm0868219","nm0868219","horror"
1996,"98","nm0716257","nm0716257","comedy"
1994,"126","nm0000816","nm0574830","adventure"
1996,"89","nm0054077","nm0005541","comedy"
1996,"96","nm0006625","nm0070676","children"
1996,"129","nm0363326","nm0363326","comedy"
1997,"110","nm0000853","nm0300004","drama"
1995,"97","nm0190859","nm0481418","children"
1947,"86","nm0229424","nm0112218","film.noir"
1982,"86","nm0716585","nm0006129","documentary"
1995,"78","nm0920425","nm0504327","animation"
1996,"91","nm0027572","nm0005562","comedy"
1995,"113","nm0868153","nm0868153","drama"
1994,"105","nm0001325","nm0001325","crime"
1995,"90","nm0001139","nm0001139","comedy"
1995,"94","nm0902939","nm0083326","comedy"
1995,"94","nm0104481","nm0911750","romance"
1994,"89","nm0000965","nm0388076","thriller"
1994,"99","nm0001774","nm0157536","comedy"
1994,"99","nm0471461","nm0222757","drama"
1994,"80","nm0002653","nm0176497","fantasy"
1994,"101","nm0848092","nm0848092","thriller"
1988,"74","nm0780117","nm0314788","animation"
1996,"80","nm0668500","nm0668500","musical"
1994,"80","nm0061944","nm0061944","comedy"
1996,"88","nm0102929","nm0102929","crime"
1996,"120","nm0834201","nm0372877","drama"
1996,"94","nm0000228","nm0287147","crime"
1995,"117","nm0086282","nm0086282","documentary"
1996,"109","nm0000853","nm0365659","romance"
1996,"110","nm0459170","nm0459170","drama"
1996,"90","nm0576509","nm0770360","action"
1997,"93","nm0007139","nm0597857","action"
1997,"121","nm0000957","nm0003662","romance"
1993,"107","nm0637518","nm0000390","thriller"
1977,"128","nm0089940","nm0589316","animation"
1996,"112","nm0005190","nm0438230","comedy"
1995,"95","nm0492087","nm0492087","comedy"
1996,"108","nm0001454","nm0001454","comedy"
1996,"86","nm0000952","nm0698493","comedy"
1997,"88","nm0850044","nm0850044","romance"
1995,"98","nm0440913","nm0440913","drama"
1996,"92","nm0751102","nm0751102","comedy"
1994,"111","nm0372092","nm0206695","drama"
1994,"91","nm0006888","nm0006888","romance"
1993,"112","nm0770961","nm0345359","mystery"
1995,"118","nm0874096","nm0922799","romance"
1990,"107","nm0001325","nm0001325","comedy"
1992,"95","nm0069715","nm0069715","crime"
1998,"89","nm0005871","nm0815425","adventure"
1998,"122","nm0000500","nm0000500","crime"
1995,"100","nm0000958","nm0489620","drama"
1995,"116","nm0578757","nm0060914","drama"
1994,"103","nm0000591","nm0947913","thriller"
1995,"104","nm0003080","nm0093328","musical"
1994,"87","nm0795803","nm0795803","drama"
1994,"128","nm0005421","nm0005421","drama"
1994,"125","nm0748928","nm0748928","drama"
