"year","runtime","unknown","action","adventure","animation","children","comedy","crime","documentary","drama","fantasy","film.noir","horror","musical","mystery","romance","sci.fi","thriller","war","western"
1995,"81",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"130",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1995,"98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1995,"105",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"123",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1995,"108",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1995,"91",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"110",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1995,"127",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1995,"106",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1995,"95",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,"108",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1995,"143",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"104",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1996,"108",0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
1995,"85",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"102",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"116",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1996,"99",0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1995,"178",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1976,"114",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1995,"104",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,"117",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"98",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"119",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"140",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1995,"121",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1967,"100",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"116",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1994,"119",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1995,"104",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1995,"83",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"95",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"93",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1994,"93",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1995,"145",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1995,"109",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"89",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,"92",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1995,"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1994,"124",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"103",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"127",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"170",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1994,"100",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1977,"121",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1994,"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
1994,"110",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"119",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1995,"127",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1994,"110",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
1994,"154",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1994,"105",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"99",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1993,"94",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"92",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"116",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1994,"97",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,"142",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1993,"118",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"103",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1994,"86",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,"102",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1994,"142",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1994,"117",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1994,"88",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1994,"101",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1994,"127",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1965,"83",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1994,"115",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1993,"144",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1993,"154",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1993,"112",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1993,"130",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1993,"86",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1994,"111",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1993,"127",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1993,"111",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1994,"109",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1994,"97",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1993,"109",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1993,"105",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1982,"117",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1993,"93",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1993,"76",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1993,"119",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1995,"88",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1990,"103",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,"90",0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1991,"137",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1990,"181",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1991,"118",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1937,"83",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1996,"98",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1981,"86",0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1970,"78",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"82",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1995,"92",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"93",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"107",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1996,"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"89",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"73",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1995,"107",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1996,"97",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1996,"95",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"106.972842486421",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"89",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1995,"105",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"136",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1996,"113",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1994,"105",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1996,"115",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,"145",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1996,"96",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"110",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1996,"135",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1996,"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1996,"117",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1972,"175",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1992,"96",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1996,"109",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
1996,"116",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1961,"115",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1939,"102",0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1939,"238",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1941,"119",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1968,"149",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
1939,"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"109",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"104",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,"108",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,"84",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,"127",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1971,"117",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1965,"172",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1988,"132",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1992,"108",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1996,"103",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"121",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1996,"110",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"96",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1971,"100",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,"89",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1988,"108",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,"94",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,"100",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1992,"99",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1986,"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1989,"97",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,"127",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1992,"100",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1986,"109",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1981,"109",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1975,"113",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,"140",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1986,"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1986,"113",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1980,"109",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,"91",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,"29",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,"155",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1991,"99",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1980,"124",0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
1987,"98",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1981,"115",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,"132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1986,"137",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1966,"161",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1957,"96",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1971,"136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1979,"147",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1983,"131",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1990,"145",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1979,"117",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1992,"81",0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1960,"109",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1980,"133",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1974,"202",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1987,"116",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1989,"23",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1984,"160",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1980,"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1983,"193",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1973,"129",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1984,"107",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1989,"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1967,"106",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1990,"117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1957,"161",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1980,"146",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1987,"84",0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1993,"101",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1992,"130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1985,"116",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1970,"172",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1988,"124",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1990,"137",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1974,"106",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1984,"82",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1989,"127",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,"116",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1988,"171",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1985,"117",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1982,"95",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1989,"107",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1989,"95",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1992,"128",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1991,"128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1984,"91",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1996,"126",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1996,"159",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"111",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1996,"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1996,"102",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"103",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,"124",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1991,"110",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1982,"113",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1984,"105",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1986,"119",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1992,"126",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1988,"107",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1992,"103",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,"124",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1996,"106",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1996,"106",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1996,"139",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1987,"94",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,"126",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1996,"81",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,"112",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1996,"105",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"105",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"121",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1997,"111",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1997,"113",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1997,"99",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"107",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1997,"94",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"126",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1996,"136",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"129",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1995,"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1997,"125",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1997,"105",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1996,"91",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1997,"98",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1997,"150",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1997,"92",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"96",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1997,"98",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"97",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1997,"97",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1990,"135",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1997,"95",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"91",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"106",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
1997,"129",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1997,"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1995,"170",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1995,"127",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
