"n","rmse","mae","r2","offline","online"
2,0.974072222039922,0.766357924720018,0.270454037702298,15.2197120189667,1.70750794410706
2,0.956522281009635,0.751922769410126,0.288121169468959,16.4240097999573,2.20065681934357
2,0.953402391614772,0.749194040080141,0.29112745186337,17.6879780292511,2.62069606781006
2,0.952783351731747,0.748735998478719,0.291486349839014,15.1877129077911,3.17254083156586
2,0.953077877422455,0.749087030125509,0.290823974121804,15.890702009201,3.46128726005554
2,0.953609129188424,0.749551211060192,0.289975548900811,14.8352880477905,3.68217697143555
2,0.954269204849062,0.750137638989835,0.289008204238605,16.0812320709229,3.87822630405426
2,0.955009894077526,0.750849579943268,0.287972470498641,17.4176819324493,4.12808270454407
2,0.955563583125272,0.75136157763492,0.287192118796312,14.2395479679108,4.19905254840851
2,0.956070333641984,0.751796788969099,0.286483356118444,13.8530759811401,4.3426234960556
3,0.980871277165071,0.771028981264626,0.264384393051165,9.29887294769287,1.68850295543671
3,0.965672541308193,0.758358101100568,0.278697832148006,12.5506598949432,2.22603607177734
3,0.963202454991285,0.756112902596888,0.280844207770213,10.522983789444,2.62766432762146
3,0.962900993143485,0.75578755434066,0.280832800849673,11.0763020515442,3.58624031543732
3,0.963307974734483,0.756301789211005,0.280138069757648,16.9953091144562,3.66712050437927
3,0.96405782509783,0.756947761116934,0.279068362231445,14.3816068172455,3.73250885009766
3,0.964689411577882,0.757531428964219,0.278178322306651,12.4601030349731,3.94304563999176
3,0.965246534341896,0.758092826981872,0.277416673760846,13.02889585495,4.01890187263489
3,0.965690509665242,0.758507528978793,0.276802301935876,13.9055240154266,4.1495242357254
3,0.966121495609782,0.758873830158511,0.276222388063561,12.2138340473175,4.18989460468292
4,0.986848522318202,0.773865858133293,0.259384448721519,10.255656003952,1.7652441740036
4,0.97371515345529,0.76331190132748,0.270915485738261,11.0498740673065,2.31856129169464
4,0.971381674761148,0.761441387244456,0.272723655041674,10.7717771530151,2.64438779354095
4,0.971658322272839,0.761665986904475,0.272029714522672,10.1302711963654,2.98054847717285
4,0.972286299356363,0.762299192916655,0.271073834317747,11.1724970340729,3.21213047504425
4,0.972820759271137,0.762859496452117,0.270290864145158,11.1791331768036,3.36422719955444
4,0.973389234750688,0.763379890435108,0.269518677568858,14.2808458805084,3.53688275814056
4,0.973811680496286,0.763788501602965,0.26893900418392,14.6008780002594,3.70186958312988
4,0.974148773944716,0.764122176346372,0.268490910026606,11.3189010620117,3.90241153240204
4,0.974442966197639,0.764392387457593,0.268105262801823,9.43868613243103,3.75631363391876
5,0.992701312826477,0.777944558113133,0.253869427220814,9.38328886032104,1.5991152048111
5,0.981793194902786,0.768874111869415,0.262590394832919,9.58653521537781,2.01067955493927
5,0.980657176694277,0.768098685071339,0.262960236153344,8.22697687149048,2.36240775585175
5,0.981164116320461,0.768531225153151,0.261972744472548,8.93976712226868,2.5934992313385
5,0.981815017440213,0.769101259013098,0.261001341217221,9.95349597930908,2.83306248188019
5,0.982415000946235,0.769651160111793,0.260163732399969,8.70323395729065,3.00349988937378
5,0.982834795361129,0.770038426412545,0.259586974667122,10.1252911090851,3.06572637557983
5,0.983157246013159,0.770348265493695,0.259159946042518,8.71029901504517,3.11987910270691
5,0.983408279577226,0.770577682286028,0.258827116309306,8.64126992225647,3.16699388027191
5,0.983579674422797,0.770738387285575,0.258609154722316,10.0731229782104,3.20130321979523
6,1.00051783585768,0.783097773883209,0.246811843583592,7.25904989242554,1.50407860279083
6,0.991347976600796,0.775481390686404,0.253438381021411,8.36757206916809,1.87944095134735
6,0.990851849433226,0.77527018005396,0.253074259474967,7.4370391368866,2.1664911031723
6,0.991268755335973,0.775615805890108,0.25227334132721,8.81779503822327,2.32966628074646
6,0.991779951539598,0.776175849958353,0.25151460222521,7.43032503128052,2.51668813228607
6,0.992188026512779,0.776536549218289,0.250948735079916,8.34000301361084,2.55969560146332
6,0.99239447152419,0.776735735585194,0.250667157751096,8.73944592475891,2.61193308830261
6,0.992564789050709,0.776915175189694,0.250439986165932,7.3568868637085,2.64548687934875
6,0.992656663326687,0.777003703186087,0.250322564553393,7.74665307998657,2.65275273323059
6,0.992726552526161,0.777064643744421,0.250237434042582,7.52543210983276,2.69127383232117
7,1.00562003194139,0.786174483738169,0.242916748592731,8.1713240146637,1.68709049224854
7,0.996637279714255,0.778811579433881,0.249344638767183,7.60705184936523,2.07895638942718
7,0.995998834990508,0.778397058998997,0.249307112120726,8.16276001930237,2.33538479804993
7,0.996494196494758,0.77894462922854,0.248447020374904,8.30165100097656,2.51366798877716
7,0.997015181170462,0.779412573498282,0.247711332204157,9.27502703666687,2.64869186878204
7,0.997317706434509,0.779724378025749,0.247274664277585,11.433375120163,2.65742561817169
7,0.997550191775124,0.779963459645177,0.246969653673596,11.3254420757294,2.66384000778198
7,0.997653936374266,0.78007642672743,0.246831133090312,8.61824297904968,2.82091300487518
7,0.997743899268097,0.780167978355607,0.246718685133068,7.65496611595154,2.86954362392426
7,0.997777519547448,0.780200089948909,0.24667322810236,7.15005397796631,2.95768299102783
8,1.01440202931654,0.793009743275038,0.234223414447754,8.4056499004364,1.49594621658325
8,1.00717067935877,0.787157488148989,0.238639333629685,7.32445096969604,1.89928431510925
8,1.00695882131667,0.787099809679411,0.238105257666684,7.9791841506958,2.0642716884613
8,1.00731604829935,0.787443766926614,0.23744642055691,8.32425808906555,2.18425886631012
8,1.00760507397983,0.78775807827269,0.237004835956333,7.11373209953308,2.28418483734131
8,1.00782551383618,0.78799863884849,0.236692931163182,7.73707294464111,2.29024524688721
8,1.00797451999834,0.788152698284063,0.236496119571613,7.8980700969696,2.39429230690002
8,1.00805104307582,0.788232288694307,0.236400252662403,9.05787801742554,2.39822609424591
8,1.0080709745638,0.788256890484674,0.236372777151006,7.86527299880981,2.35179300308228
8,1.00809822350765,0.788285716464623,0.236338940331551,7.7536940574646,2.36590406894684
9,1.01701523674105,0.795387845531883,0.232713869180594,7.7408709526062,1.49494049549103
9,1.01028154830217,0.789589776094638,0.236957074750678,7.60889410972595,1.85865278244019
9,1.00975405677405,0.789075176512649,0.236861529325715,7.58017492294312,2.03474082946777
9,1.01012495082701,0.789386254592655,0.236230940883506,8.07570815086365,2.17007129192352
9,1.01031014939642,0.789533724902624,0.235936260615266,7.88993811607361,2.22805361747742
9,1.01043157540899,0.789679987938337,0.235743095074147,7.79719996452332,2.26757204532623
9,1.01054150738237,0.789797695071662,0.235598190495692,7.15094304084778,2.29790568351746
9,1.01062349513612,0.789882232644477,0.235494858765196,7.09330987930298,2.33569989204407
9,1.01065422746744,0.789921203505677,0.235459132976072,7.66113877296448,2.29655182361603
9,1.01066654231244,0.789937523242543,0.235441992604049,7.54382991790771,2.307883644104
10,1.02400000732058,0.799950551231472,0.226735325317799,7.48127508163452,1.46284720897675
10,1.01743535898859,0.79457168415591,0.230606020509612,12.0213868618011,1.80572957992554
10,1.01734907525886,0.79474805730609,0.229997458175525,7.75927901268005,1.96840932369232
10,1.01762957302489,0.795006935093064,0.229453151594522,9.3080141544342,2.10604076385498
10,1.01787477545967,0.795288360187122,0.229080995566397,6.99697113037109,2.14226944446564
10,1.01798311168866,0.79538971831885,0.228927161949271,7.36099195480347,2.20255031585693
10,1.01805448280348,0.795478484244941,0.228833177180466,8.23339009284973,2.195250415802
10,1.01809179513156,0.795522646135947,0.2287840011957,6.73522710800171,2.22406511306763
10,1.01811640347859,0.79554650832741,0.228753880280197,8.19660496711731,2.20900776386261
10,1.01812199254419,0.795554334802748,0.228747626614671,7.24760603904724,2.20662229061127
